,Date,Open,High,Low,Close,NH20,NH60,NH200,NH250,NL20,NL60,NL200,NL250,diffNHNL20d,RatioNHNL200d,Threshold_line,diffShortNHNL,diffLongNHNL,diffShortLongNHNL,diffShortLongNHNL_MA120,Advanced,Unchanged,Declined,Total,AD Line
258,2021-11-30,1601.52001953125,1612.0999755859375,1565.949951171875,1568.68994140625,16,12,7,7,219,139,26,19,-29.896907216494846,0.8521071733202908,0.8803180264273334,-127,-19,-108,-3.4583333333333335,95,124,438,657,-43.745216506663
259,2021-12-01,1576.260009765625,1591.8599853515625,1563.0400390625,1590.81005859375,18,15,10,10,119,89,20,15,-14.874815905743741,0.8419219881351057,0.8795033272725945,-74,-10,-64,-3.9916666666666667,403,158,95,656,-42.353416622254684
260,2021-12-02,1583.3800048828125,1592.0,1580.0799560546875,1591.8399658203125,35,23,12,12,18,13,6,3,2.503681885125184,0.8363664325795501,0.8785960355252631,10,6,4,-3.975,215,191,247,653,-42.761664912718544
261,2021-12-03,1593.0799560546875,1597.25,1587.530029296875,1588.18994140625,27,21,12,12,25,17,8,5,0.29455081001472755,0.832263868476986,0.8776631027522906,4,4,0,-4.016666666666667,223,205,224,652,-42.831338214147706
262,2021-12-07,1600.1700439453125,1611.5799560546875,1595.1400146484375,1609.280029296875,32,23,15,14,7,2,0,0,3.681885125184094,0.8332442606338488,0.876753271173819,21,15,6,-4.016666666666667,373,170,107,650,-41.58411908522306
263,2021-12-08,1617.0899658203125,1621.2099609375,1610.300048828125,1618.3599853515625,41,33,27,26,12,5,1,1,4.270986745213549,0.8335262155210669,0.8758627587265087,28,26,2,-3.9833333333333334,276,199,172,647,-40.86300883013026
264,2021-12-09,1621.6300048828125,1623.8199462890625,1612.5699462890625,1618.22998046875,49,31,20,20,9,2,0,0,5.891016200294551,0.8335262155210669,0.8749722462791981,29,20,9,-3.9,240,186,225,651,-40.57978823811175
265,2021-12-13,1626.260009765625,1628.9300537109375,1618.5699462890625,1625.8299560546875,50,35,22,22,11,4,2,2,5.743740795287187,0.8342206599655113,0.8741280301281841,31,20,11,-3.8833333333333333,257,178,216,651,-40.10119626228097
266,2021-12-14,1619.68994140625,1630.9300537109375,1616.510009765625,1630.6400146484375,54,34,21,21,7,5,2,2,6.9219440353460975,0.8361047179365256,0.8733707704989091,29,19,10,-3.808333333333333,225,209,215,649,-39.88297837204498
267,2021-12-15,1628.010009765625,1630.8900146484375,1622.489990234375,1623.6600341796875,64,40,27,27,13,6,1,1,7.511045655375552,0.8366205909523987,0.8726406272717505,34,26,8,-3.8,207,198,246,651,-40.32567454268291
268,2021-12-16,1629.47998046875,1645.43994140625,1624.31005859375,1645.3199462890625,51,29,23,23,15,7,0,0,5.3019145802650955,0.8384724428042506,0.8719722124396536,22,23,-1,-3.7916666666666665,299,184,169,652,-39.487400898398
269,2021-12-17,1644.0999755859375,1646.8499755859375,1637.0899658203125,1641.72998046875,43,26,16,16,6,3,0,0,5.44918998527246,0.8384724428042506,0.8713037976075567,23,16,7,-3.75,199,193,262,654,-40.05726252023372
270,2021-12-20,1631.219970703125,1633.800048828125,1612.9599609375,1615.800048828125,31,24,20,20,29,19,6,4,0.29455081001472755,0.8362929556247634,0.8706083172483944,5,14,-9,-3.783333333333333,88,119,441,648,-41.772391281192114
271,2021-12-21,1623.199951171875,1628.8399658203125,1618.5699462890625,1622.25,26,20,14,14,25,13,5,4,0.14727540500736377,0.8337588425643346,0.8698706016715582,7,9,-2,-3.683333333333333,236,211,202,649,-41.3719198608753
272,2021-12-22,1628.4200439453125,1632.3299560546875,1624.77001953125,1626.7900390625,41,25,16,16,16,10,3,3,3.681885125184094,0.8311272636169662,0.8690676589242317,15,13,2,-3.6333333333333333,252,211,187,650,-40.81820172537231
273,2021-12-23,1633.199951171875,1645.7099609375,1632.9000244140625,1641.469970703125,39,22,14,14,16,8,0,0,3.3873343151693667,0.8335082159979185,0.8683255627377517,14,14,0,-3.45,271,205,173,649,-40.128471230657304
274,2021-12-24,1642.6400146484375,1644.1199951171875,1635.18994140625,1637.219970703125,28,20,16,15,22,18,2,2,0.8836524300441826,0.8349896974794001,0.867663713464852,2,14,-12,-3.5083333333333333,162,216,273,651,-40.84367801007651
275,2021-12-27,1641.280029296875,1642.4200439453125,1632.7900390625,1636.5,41,28,19,18,37,23,6,6,0.5891016200294551,0.8335538000435025,0.8670206676107557,5,13,-8,-3.558333333333333,197,190,261,648,-41.42253769431045
276,2021-12-28,1640.969970703125,1650.280029296875,1640.6099853515625,1641.52001953125,35,17,12,11,31,20,6,4,0.5891016200294551,0.8317019481916507,0.8664084859541903,-3,6,-9,-3.6166666666666667,215,188,248,651,-41.84039314132912
277,2021-12-29,1643.4300537109375,1654.97998046875,1641.75,1653.3299560546875,44,19,8,8,22,10,2,2,3.240058910162003,0.8317019481916508,0.8658518598531805,9,6,3,-3.525,293,208,151,652,-41.01612022698547
278,2021-12-30,1657.2900390625,1660.8499755859375,1652.3699951171875,1657.6199951171875,59,28,16,15,11,8,1,1,7.069219440353461,0.8352670105802424,0.8654140691651235,20,15,5,-3.341666666666667,289,197,167,653,-40.231160599895254
279,2022-01-04,1664.510009765625,1674.18994140625,1663.5,1670.280029296875,97,44,25,23,11,3,2,2,12.665684830633284,0.8353144939610592,0.8649984373881145,41,23,18,-3.175,365,150,139,654,-39.00776829089464
280,2022-01-05,1672.8900146484375,1677.949951171875,1670.5899658203125,1676.7900390625,108,44,29,28,11,5,3,2,14.285714285714286,0.835603845812911,0.8645679872889956,39,26,13,-2.95,295,179,179,653,-38.20499531897515
281,2022-01-06,1663.5899658203125,1666.219970703125,1653.030029296875,1653.030029296875,52,27,16,14,19,9,3,2,4.860088365243004,0.8329722668655427,0.8639970591832659,18,13,5,-2.35,143,151,361,655,-39.40258060876281
282,2022-01-07,1659.1500244140625,1662.4200439453125,1650.530029296875,1657.6199951171875,62,25,13,13,19,9,5,3,6.332842415316642,0.8283426372359131,0.86321008169482,16,8,8,-1.7666666666666666,210,183,260,653,-39.9238666439055
283,2022-01-10,1661.5,1664.22998046875,1654.050048828125,1657.06005859375,80,42,22,21,30,14,4,2,7.363770250368188,0.8257785346718105,0.8623433321266022,28,18,10,-1.5833333333333333,244,179,229,652,-39.63519150931069
284,2022-01-11,1659.3299560546875,1667.699951171875,1659.0,1667.1199951171875,78,42,18,18,28,12,3,2,7.363770250368188,0.823397582290858,0.8613535666853684,30,15,15,-1.4166666666666667,264,191,199,654,-39.05334817415365
285,2022-01-12,1676.030029296875,1680.8499755859375,1673.0,1678.5,94,44,28,28,17,9,5,2,11.34020618556701,0.8220628059560817,0.8603613962417298,35,23,12,-1.3166666666666667,300,190,165,655,-38.212630455342804
286,2022-01-13,1680.8299560546875,1682.7099609375,1675.739990234375,1680.02001953125,102,59,31,31,9,6,1,1,13.69661266568483,0.8215419726227484,0.8593605452425355,53,30,23,-1.1333333333333333,265,191,198,654,-37.62190350206123
287,2022-01-14,1676.5799560546875,1680.02001953125,1670.699951171875,1672.6300048828125,81,52,33,33,13,4,1,1,10.014727540500736,0.8252184432109837,0.8584904131975896,48,32,16,-1.0083333333333333,172,193,287,652,-38.39182785234159
288,2022-01-17,1675.81005859375,1680.3900146484375,1672.9300537109375,1676.8699951171875,74,38,29,27,14,4,1,1,8.836524300441827,0.8270438400363804,0.8576398819222443,34,28,6,-0.925,239,193,217,649,-38.05507562613415
289,2022-01-18,1680.280029296875,1682.9300537109375,1660.1500244140625,1660.27001953125,57,33,22,22,40,15,3,2,2.503681885125184,0.8250438400363805,0.8566865728691214,18,19,-1,-0.7,98,142,409,649,-39.529804474033035
290,2022-01-19,1658.8599853515625,1667.43994140625,1653.3800048828125,1658.239990234375,32,19,10,9,75,34,9,5,-6.332842415316642,0.8171491031942753,0.8555669626464079,-15,1,-16,-0.6666666666666666,192,166,292,650,-40.30362770656717
291,2022-01-20,1663.31005859375,1666.5999755859375,1656.469970703125,1656.9599609375,40,19,9,7,43,20,6,4,-0.4418262150220913,0.8104824365276085,0.854336241312583,-1,3,-4,-0.675,184,168,298,650,-41.12494141826188
292,2022-01-21,1651.2099609375,1655.4200439453125,1641.8599853515625,1652.72998046875,18,11,8,8,88,37,12,9,-10.309278350515465,0.8004824365276086,0.8528991707724092,-26,-4,-22,-0.75,167,175,312,654,-42.032610761339875
293,2022-01-24,1650.3399658203125,1654.989990234375,1639.1400146484375,1640.5400390625,26,13,7,7,92,38,11,6,-9.720176730486008,0.7902972513424233,0.851252664606133,-25,-4,-21,-0.7666666666666667,112,143,400,655,-43.44682432371297
294,2022-01-25,1636.3299560546875,1641.6800537109375,1624.2900390625,1639.0899658203125,18,13,6,6,167,74,31,19,-21.944035346097202,0.7763332873784594,0.8492900923737907,-61,-25,-36,-0.8416666666666667,166,149,332,647,-44.4988065795836
295,2022-01-26,1645.489990234375,1649.8199462890625,1642.0699462890625,1643.43994140625,24,18,13,13,47,24,17,11,-3.3873343151693667,0.7702221762673483,0.8471121417195484,-6,-4,-2,-0.3,235,179,236,650,-44.57334217883359
296,2022-01-27,1633.780029296875,1635.1400146484375,1617.8699951171875,1634.1700439453125,15,7,5,5,166,82,27,19,-22.23858615611193,0.7575485651562374,0.8445873822028721,-75,-22,-53,-0.15833333333333333,141,148,366,655,-45.80219005961215
297,2022-01-28,1637.8199462890625,1646.47998046875,1636.699951171875,1639.510009765625,27,16,8,8,29,14,8,5,-0.29455081001472755,0.7550485651562372,0.8420520406756137,2,0,2,-0.016666666666666666,346,168,141,655,-44.70081920859089
